"changedFields","ibisProductId","ibisSourceId","newPublished","newSourcePrice","newStockQty","newStockStatus","nikProductId","nikSourceId","oldPublished","oldSourcePrice","oldStockQty","oldStockStatus","sku"
"stockQty","69e9e8ca2eeb571971d4e1aa","79806","true","19.68","1","instock","69b4430cc23d34935c3b707a","22950","true","19.68","3","instock","159SU03"
"sourcePrice|stockQty","69e9e8ca2eeb571971d4e1a2","79804","true","9.5","12","instock","69b4430cc23d34935c3b7083","22953","true","9.46","6","instock","116LG388"
"stockQty","69e9e8c92eeb571971d4e19a","79802","true","17.38","13","instock","69b4430dc23d34935c3b7095","23031","true","17.38","9","instock","162AR25"
"sourcePrice|stockQty","69e9e7f92eeb571971d4cec7","98415","true","4.5","10","instock","69b4430dc23d34935c3b709e","23063","true","5.18","11","instock","326CU12"
"stockQty","69e9ee822eeb571971d56533","88593","true","41.93","1","instock","69b4430ec23d34935c3b70c2","23083","true","41.93","3","instock","156ZN01"
"sourcePrice","69e9ee822eeb571971d5652b","88591","true","7.67","2","instock","69b4430fc23d34935c3b70cb","23085","true","","2","instock","131ZN06"
"sourcePrice","69e9ee822eeb571971d56523","88590","true","22.5","1","instock","69b4430fc23d34935c3b70d4","23087","true","0","1","instock","159ZN12"
"sourcePrice|published","69e9ee812eeb571971d5651b","88588","true","9.51","0","outofstock","69b4430fc23d34935c3b70dd","23090","false","0","0","outofstock","126ZN06"
"stockQty","69e9e8c72eeb571971d4e16a","79790","true","19.43","1","instock","69b44310c23d34935c3b7101","23115","true","19.43","2","instock","165ZN19"
"stockQty","69e9ee812eeb571971d56513","88586","true","21.47","2","instock","69b44311c23d34935c3b710a","23118","true","21.47","1","instock","156ZN02"
"stockQty","69e9e8c72eeb571971d4e162","79788","true","9.46","2","instock","69b44311c23d34935c3b7113","23124","true","9.46","1","instock","141ZN32"
"stockQty","69e9e8c62eeb571971d4e15a","79786","true","19.43","4","instock","69b44311c23d34935c3b711c","23129","true","19.43","3","instock","119ZN13"
"stockQty","69e9e8c62eeb571971d4e14a","79782","true","19.43","3","instock","69b44312c23d34935c3b712e","23134","true","19.43","4","instock","120ZN27"
"stockQty|stockStatus","69e9e8c52eeb571971d4e142","79780","true","19.43","0","outofstock","69b44312c23d34935c3b7137","23136","true","19.43","2","instock","120ZN28"
"sourcePrice|published","69e9ee812eeb571971d5650b","88582","true","2.15","0","outofstock","69b44313c23d34935c3b7140","23210","false","0","0","outofstock","304CU22"
"sourcePrice|stockQty","69e9ee802eeb571971d56503","88580","true","6","2","instock","69b44313c23d34935c3b7149","23212","true","6.9","8","instock","139ZN10OR"
"stockQty|stockStatus","69e9ee802eeb571971d564fb","88578","true","14.32","3","instock","69b44313c23d34935c3b7152","23215","true","14.32","0","outofstock","126ZN05"
"stockQty","69e9ee802eeb571971d564f3","88576","true","47.04","2","instock","69b44314c23d34935c3b715b","23217","true","47.04","3","instock","159ZN15"
"stockQty","69e9ee7f2eeb571971d564eb","88574","true","16.36","4","instock","69b44314c23d34935c3b7164","23240","true","16.36","1","instock","140ID08"
"sourcePrice|stockQty","69e9e8c52eeb571971d4e13a","79778","true","3.48","7","instock","69b44314c23d34935c3b716d","23277","true","0","9","instock","112LG40"
"sourcePrice|stockQty","69e9ee7f2eeb571971d564e2","88572","true","3.2","10","instock","69b44315c23d34935c3b7176","23280","true","4.99","12","instock","140GR08"
"stockQty","69e9e8c52eeb571971d4e132","79776","true","4.35","5","instock","69b44315c23d34935c3b717f","23283","true","4.35","7","instock","146AC07"
"stockQty","69e9e6632eeb571971d4aa2a","96604","true","26.59","1","instock","69b44316c23d34935c3b7191","23299","true","26.59","7","instock","301AC14"
"sourcePrice|published","69e9ee7e2eeb571971d564d2","88568","true","31.7","1","instock","69b44316c23d34935c3b719a","23345","false","0","1","instock","131ZN07"
"stockQty|stockStatus","69e9ee7e2eeb571971d564ca","88566","true","19.43","0","outofstock","69b44316c23d34935c3b71a3","23349","true","19.43","1","instock","131ZN08"
"sourcePrice","69e9e8c42eeb571971d4e12a","79774","true","12.27","10","instock","69b44317c23d34935c3b71ac","23354","true","0","10","instock","151ZN01"
"sourcePrice|stockQty|stockStatus|published","69e9ee7d2eeb571971d564c2","88564","true","19.43","0","outofstock","69b44317c23d34935c3b71b5","23358","false","0","1","instock","151ZN02"
"stockQty","69e9ee7d2eeb571971d564b2","88560","true","29.65","7","instock","69b44318c23d34935c3b71c7","23435","true","29.65","9","instock","151ZN03"
"sourcePrice|stockQty|stockStatus","69e9ee7c2eeb571971d564aa","88558","true","16.5","0","outofstock","69b44319c23d34935c3b71f2","23550","true","18.98","19","instock","151LG23"
"sourcePrice|stockQty|stockStatus|published","69e9ee7c2eeb571971d564a2","88555","true","7.57","0","outofstock","69b44319c23d34935c3b71fb","23559","false","0","5","instock","302CU70"
"stockQty","69e9ee7c2eeb571971d5649a","88554","true","11.25","6","instock","69b4431ac23d34935c3b7204","23630","true","11.25","3","instock","800BH01OR"
"sourcePrice|stockQty","69e9ee7b2eeb571971d56492","88551","true","16.36","1","instock","69b4431ac23d34935c3b720d","23635","true","17.5","10","instock","230FR30"
"stockQty","69e9e8c32eeb571971d4e102","79762","true","4.09","68","instock","69b4431ac23d34935c3b7216","23658","true","4.09","66","instock","167SU02"
"stockQty","69e9ee7b2eeb571971d5648a","88549","true","41.93","2","instock","69b4431bc23d34935c3b7228","23665","true","41.93","1","instock","131ZN09"
"sourcePrice|stockQty","69e9e8c22eeb571971d4e0f2","79758","true","22","2","instock","69b4431bc23d34935c3b7231","23675","true","25.3","9","instock","117SU17"
"sourcePrice|stockQty","69e9ee7b2eeb571971d56482","88547","true","4.5","13","instock","69b4431cc23d34935c3b723a","23716","true","5.18","9","instock","147AC08"
"stockQty","69e9ee7a2eeb571971d5647a","88545","true","19.43","2","instock","69b4431cc23d34935c3b7243","23718","true","19.43","3","instock","321AC06"
"sourcePrice|stockQty","69e9ee7a2eeb571971d56471","88542","true","11.25","3","instock","69b4431cc23d34935c3b724c","23722","true","9.99","2","instock","321AC08"
"stockQty","69e9ee792eeb571971d56468","88539","true","19.43","4","instock","69b4431cc23d34935c3b7255","23723","true","19.43","2","instock","312AC08"
"sourcePrice","69e9ee792eeb571971d56457","88536","true","32","0","outofstock","69b4431dc23d34935c3b7267","23727","true","31.7","0","outofstock","324AC05"
"stockQty|stockStatus","69e9ee782eeb571971d5644f","88534","true","6.54","0","outofstock","69b4431dc23d34935c3b7270","23775","true","6.54","8","instock","162FR19"
"stockQty","69e9e68c2eeb571971d4add4","97712","true","47.04","1","instock","69b4431ec23d34935c3b7279","23830","true","47.04","2","instock","170MA00"
"stockQty","69e9e8c12eeb571971d4e0e2","79752","true","16.36","4","instock","69b4431ec23d34935c3b728b","23923","true","16.36","2","instock","140ZN37"
"sourcePrice|stockQty","69e9ee782eeb571971d5643f","88529","true","9.46","7","instock","69b4431fc23d34935c3b7294","23970","true","0","5","instock","803ZN10"
"stockQty|stockStatus","69e9ee772eeb571971d56437","88527","true","18.41","0","outofstock","69b4431fc23d34935c3b729d","23974","true","18.41","2","instock","803ZN11"
"sourcePrice|stockQty","69e9ee762eeb571971d5641e","88520","true","9.5","7","instock","69b44320c23d34935c3b72b8","23998","true","9.97","5","instock","803BH12"
"sourcePrice|stockQty","69e9ee762eeb571971d56415","88518","true","19.43","10","instock","69b44320c23d34935c3b72c1","24001","true","19.94","3","instock","803RO16"
"stockQty","69e9ee752eeb571971d5640c","88516","true","11.5","9","instock","69b44320c23d34935c3b72ca","24003","true","11.5","8","instock","803KR02"
"stockQty","69e9e8c12eeb571971d4e0da","79750","true","7.41","12","instock","69b44321c23d34935c3b72dc","24033","true","7.41","8","instock","140IG38"
"sourcePrice|stockQty","69e9ee752eeb571971d563fb","88511","true","5.37","6","instock","69b44322c23d34935c3b72f7","24066","true","5.68","9","instock","306CU27"
"stockQty","69e9e8c02eeb571971d4e0c2","79743","true","3.48","13","instock","69b44322c23d34935c3b7300","24073","true","3.48","18","instock","150BH01"
"sourcePrice|stockQty","69e9ee742eeb571971d563f4","88509","true","3.5","13","instock","69b44322c23d34935c3b7309","24090","true","3.48","9","instock","815PE135"
"stockQty","69e9ee742eeb571971d563e4","88505","true","7.41","7","instock","69b44323c23d34935c3b731a","24097","true","7.41","2","instock","811PE49"
"stockQty","69e9ee732eeb571971d563dc","88503","true","11.5","19","instock","69b44323c23d34935c3b7323","24098","true","11.5","9","instock","800PE143"
"stockQty","69e9e8bf2eeb571971d4e0ba","79741","true","11.25","9","instock","69b44324c23d34935c3b732c","24106","true","11.25","2","instock","148ZN31"
"stockQty","69e9e8bf2eeb571971d4e0b2","79739","true","16.36","4","instock","69b44324c23d34935c3b7335","24109","true","16.36","10","instock","148ZN36"
"sourcePrice|stockQty","69e9ee732eeb571971d563d4","88501","true","32","3","instock","69b44324c23d34935c3b733e","24114","true","31.7","2","instock","222FR40"
"stockQty","69e9ee732eeb571971d563cc","88499","true","4.09","20","instock","69b44324c23d34935c3b7347","24117","true","4.09","12","instock","308IG02"
"sourcePrice|stockQty","69e9e8bf2eeb571971d4e0aa","79737","true","18.41","20","instock","69b44325c23d34935c3b7350","24125","true","24.54","19","instock","139ZN49OR"
"stockQty","69e9ee722eeb571971d563c4","88497","true","1.94","11","instock","69b44325c23d34935c3b7359","24162","true","1.94","12","instock","811PE409"
"stockQty","69e9ee722eeb571971d563bc","88495","true","1.23","9","instock","69b44325c23d34935c3b7362","24165","true","1.23","5","instock","811PE104"
"stockQty","69e9ee722eeb571971d563b4","88493","true","1.64","11","instock","69b44326c23d34935c3b736b","24167","true","1.64","5","instock","811PE105"
"sourcePrice|stockQty","69e9ee712eeb571971d563ac","88491","true","2.2","24","instock","69b44326c23d34935c3b7374","24172","true","2.05","45","instock","813PE230"
"sourcePrice|stockQty|stockStatus|published","69e9ee712eeb571971d563a5","88489","true","7.67","0","outofstock","69b44326c23d34935c3b737d","24176","false","0","7","instock","100LG03"
"sourcePrice|stockQty","69e9ee712eeb571971d5639d","88487","true","4.86","18","instock","69b44327c23d34935c3b7385","24177","true","0","10","instock","820PE53"
"stockQty","69e9ee702eeb571971d5638d","88484","true","21.47","3","instock","69b44327c23d34935c3b7397","24195","true","21.47","5","instock","131ZN03"
"sourcePrice|stockQty|stockStatus|published","69e9ee702eeb571971d56385","88482","true","8.59","0","outofstock","69b44327c23d34935c3b73a0","24196","false","0","1","instock","131ZN04"
"stockQty|stockStatus","69e9ee6f2eeb571971d5637d","88480","true","24.54","2","instock","69b44328c23d34935c3b73a9","24197","true","24.54","0","outofstock","131CY03"
"sourcePrice|stockQty|stockStatus","69e9ee6f2eeb571971d56375","88478","true","0.61","1","instock","69b44328c23d34935c3b73b2","24198","true","0","0","outofstock","132PE00"
"sourcePrice|stockQty","69e9ee6f2eeb571971d5636d","88477","true","4.35","6","instock","69b44328c23d34935c3b73bb","24201","true","0","4","instock","133BH01"
"sourcePrice","69e9ee6e2eeb571971d56365","88475","true","6.8","1","instock","69b44329c23d34935c3b73c4","24203","true","7.82","1","instock","137ZN00"
